UPDATE,NOTE,STATUS,CODE,CLASS,DISTRICT,DEPT,REG,PROVINCE,CITY,TOWN,BARANGAY,SITIO,REQUESTING PARTY,RECIPIENT,INDORSED BY,IND_DATE,DIS_DATE,TYPE OF DISASTER,AMT_REQD,,INFRA ,AGRI,SCHOOL,HEALTH,SHELTER,ENVIRONMENT,OTHERS,DATE_REQD,DATE_OCD,AMT_RECOM,RECOM_DATE,PURPOSE,PURPOSE1,CFMU_C1,CFMU_C2,LOC_DATE,LOC_CFMU,CMONTH,YEAR,ACT_TAKEN1,ACT_DATE1,ACT_TAKEN2,ACT_DATE2,REMARKS,REM_DEPT,NO OF PROJECTS,OTHERS
11/25/2013,CF,,LGU,,,,16,MAGUINDANAO,,GEN SALIPADA PENDATUN,,,MAYOR SAHJID KHAN P PENDATUN,"SEN SALIPADA K PENDATUN, MAGUINDANAO",,,,MONSOON RAINS IN 2012," 29,000,000.00 ",," 29,000,000.00 ",,,,,,,10/24/2013,09/25/2013,,,REPAIR/REHABILITATION OF BARANGAY ROADS ,ROAD,B,B1,,,10-13,2013,18,01/28/2014,,,NDRRMC REFERRED TO DPWH FOR RE-ASSESSMENT AND RECOMMENDATION ,18,1,
11/13/2014,CF,,LGU,,,DPWH,4,RIZAL,,ANGONO,,,MAYOR GERARDO V CALDERON,"ANGONO, RIZAL",DPWH SECRETARY ROGELIO L SINGSON,02/05/2014,,"HABAGAT & T MARING - AUGUST 18-20, 2013"," 27,779,000.00 ",," 27,779,000.00 ",,,,,,,08/23/2013,02/13/2014,,,"IMPROVEMENT/CONSTRUCTION O GRAVITY WALL WITH GABIONS AS FOUNDATION ALONG AGONON RIVER AT INTERMITITTENT SECTION FRON STA. 0+700-STA. 7+000, ANGONO, RIZAL",,B,B1,,,08-13,2013,,,,,FOR EVALUATION ,,1,
02/24/2014,CF,,LGU,,,,4,ORIENTAL MINDORO,,POLA,,,MAYOR LEANDRO P PANGANIBAN JR,"POLA, ORIENTAL MINDORO",,,,," 9,500,000.00 ",," 9,500,000.00 ",,,,,,,02/12/2014,02/24/2014,,,CONSTRUCTION/IMPROVEMENT OF POLA RIVER CONTROL AND SEAWALL (PHASE 4),RIVER CONTROL,B,B3,,,02-14,2014,,,,,FOR EVALUATION ,,1,
02/24/2014,CF,,LGU,,,,3,ZAMBALES,,SAN MARCELINO,,,MAYOR JOSE F RODRIGUEZ,"SAN MARCELINO, ZAMBALES",DPWH SECRETARY ROGELIO L SINGSON,02/14/2014,,T ODETTE IN 2013," 10,000,000.00 ",," 10,000,000.00 ",,,,,,,05/03/2013,02/24/2014,,,"REPAIR/REHABILITATION OF FARM-TO-MARKETS, BRGY AGLAW AND BUHAWEN TO PROVINCIAL ROAD NETWORK, SAN MARCELINO, ZAMBALES",ROAD,B,B1,,,05-13,2013,,,,,FOR PROCESSING ,,1,
02/24/2014,CF,,LGU,,,,11,DAVAO ORIENTAL,,BOSTON,,,MAYOR REBECCA B ROSIT SR,"BOSTON, DAVAO ORIENTAL",,,,," 22,873,954.52 ",," 22,873,954.52 ",,,,,,,01/27/2014,02/24/2014,,,CONSTRUCTION OF ROADS,ROAD,B,B1,,,01-14,2014,,,,,FOR EVALUATION ,,1,
02/24/2014,CF,,LGU,4TH,,,5,CAMARINES SUR,,PRESENTACION,,,MAYOR JIMMY V DELENA,"PRESENTACION, CAMARINES SUR",,,,," 50,000,000.00 ",," 50,000,000.00 ",,,,,,,02/18/2014,02/24/2014,,,REHABILITATION/CONSTRUCTION OF BARANGAY ROADS,ROAD,B,B1,,,02-14,2014,,,,,FOR EVALUATION ,,1,
02/24/2014,CF,,LGU,,,,3,ZAMBALES,,SUBIC,,,MAYOR JEFFERSON F KHONGHUN,"SUBIC, ZAMBALES",,,,HABAGAT - SEPT 2013,,,,,,,,,,05/02/2014,02/24/2014,,,DESILTING OF RIVERS,RIVERS,B,B1,,,02-14,2014,,,,,FOR EVALUATION ,,1,
02/24/2014,CF,,NGA,,,DPWH,4,ROMBLON,,,,,SEC ROGELIO L SINGSON,DPWH ROMBLON,,,,T YOLONDA - 2013," 226,219,000.00 ",," 226,219,000.00 ",,,,,,,02/17/2014,02/24/2014,,,CONSTRUCTION OF RIVER CONTROL PROJECTS IN THE PROVINCE OF ROMBLON,RIVER CONTROL,B,B3,,,02-14,2014,,,,,FOR PROCESSING ,,6,
02/03/2014,CF,,NGA,,,DPWH,10,,,,,,SEC ROGELIO L SINGSON,DPWH REGION 10,,,,T SENDONG - 2011," 248,363,075.00 ",," 248,363,075.00 ",,,,,,,02/03/2014,02/13/2014,,,"RECONSTRUCTION OF FLOOD CONTROL ALONG IPONAN RIVER, CAGAYAN DE ORO CITY AND MANDULOG RIVER, ILIGAN CITY",RIVER CONTROL,B,B3,,,02-14,2014,,,,,FOR PROCESSING ,,2,
02/14/2014,CF,,NGA,,,CHED,,,,,,,CHAIRPERSON PATRICIA B LICUANAN ,CHED,,,,"T LABUYO, ODETTE, PABLO, SANTI, SENDONG, VINTA, YOLANDA, ZAMBOANGA SEIGE, AND CEBU & BOHOL EARTHQUAKE"," 4,101,042,105.00 ",," 4,101,042,105.00 ",,,,,,,02/13/2014,02/14/2014,,,REPAIR/REHABILITATION OF SUCS BUILDINGS AND FACILITIES,SCHOOL BUILDING,B,B2,,,02-14,2014,,,,,FOR EVALUATION ,,,
02/13/2014,CF,,NGA,,,DPWH,10,LANAO DEL NORTE,ILIGAN CITY,,,,SEC ROGELIO L SINGSON,DPWH REGION 10,,,,T SENDONG - 2011," 3,620,000.00 ",," 3,620,000.00 ",,,,,,,02/05/2014,02/13/2014,,,CONSTRUCTION OF FLOOD CONTROL ALONG ILIGAN AND PUGA-AN RIVERS,FLOOD CONTROL ,B,B3,,,02-14,2014,,,,,FOR EVALUATION ,,1,
02/13/2014,CF,,NGA,,,DPWH,13,,,,,,SEC ROGELIO L SINGSON,DPWH CARAGA REGION,,,,"T YOLANDA IN NOVEMBER 08, 2013"," 2,755,000.00 ",," 2,755,000.00 ",,,,,,,02/05/2014,02/13/2014,,,REPAIR/RESTORATION OF INFRASTRUCTURE PROJECTS IN THE PROVINCE OF SURIGAO DEL NORTE AND DINAGAT ISLAND,OTHERS,B,B7,,,02-14,2014,,,,,FOR PROCESSING ,,4,
02/21/2014,CF,,LGU,,,,5,CATANDUANES,,,,,CONG CESAR V SARMIENTO,"CATANDUANES, LONE DISTRICT",,,,"T YOLANDA IN NOVEMBER 08, 2013"," 66,819,000.00 ",," 66,819,000.00 ",,,,,,,02/19/2014,01/21/2014,,,REPAIR/REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,11-13,2013,,,,,FOR EVALUATION ,,1,
02/18/2014,CF,,LGU,,,,6,ILOILO,,DUMANGAS,,,MAYOR ROLANDO B DISTURA,"DUMANGAS, ILOILO","RD, OCDRO 6",,,T QUINTA - 2012," 89,000,000.00 ",," 89,000,000.00 ",,,,,,,02/17/2013,05/15/2013,,,REPAIR/REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,02-13,2013,18,08/10/2013,,,REFERRED TO DPWH FOR VALIDATION AND RECOMMENDATION,18,9,
02/20/2014,CF,,LGU,,,,8,NORTHERN SAMAR,,SAN ROQUE,,,MAYOR DON L ABALON,"SAN ROQUE, NORTHERN SAMAR",,,,T AGATON IN 2013," 39,750,000.00 ",," 39,750,000.00 ",,,,,,,01-20-2014,02/20/2014,,,REPAIR/REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,01-14,2014,,,,,FOR EVALUATION ,,7,
02/20/2014,CF,,LGU,,,,10,LANAO DEL NORTE,,MATUNGAO,,,MAYOR AISHA A AZIS,"MATUNGAO, LANAO DEL NORTE",,,,T AGATON IN 2013,,,,,,,,,,02/12/2014,02/20/2014,,,REPAIR/REHABILITATION OF WATER SYSTEM AND BAILEY BRIDGE IN MATUNGAO,OTHERS,B,B7,,,02-14,2014,,,,,FOR EVALUATION ,,2,
02/18/2014,CF,,LGU,,,,13,AGUSAN DEL NORTE,BUTUAN CITY,,,,MAYOR FERDINAND M AMANTE JR,"BUTUAN CITY, AGUSAN DEL NORTE",,,,T AGATON IN 2013," 7,500,000.00 ",," 7,500,000.00 ",,,,,,,02/12/2014,02/18/2014,,,DESILTING OF THE AGUSAN RIVER,OTHERS,B,B3,,,02-14,2014,,,,,FOR EVALUATION ,,1,
02/14/2014,CF,,LGU,,,,7,BOHOL,,JAGNA,ALEJAWAN,,BRGY CAPTAIN TEOFILO T RANA,"BRGY ALEJAWAN, JAGNA, BOHOL",CONG ARTHUR C YAP,01/29/2014,,," 2,000,000.00 ",," 2,000,000.00 ",,,,,,,01/06/2014,02/14/2014,,,CONSTRUCTION OF SEAWALL ALONG COAST LINE OF ALEJAWAN BRGY ROAD,SEAWALL,B,B3,,,01-14,2014,,,,,FOR EVALUATION ,,1,
02/14/2014,CF,,LGU,,,,7,BOHOL,,JAGNA,CANTAGAY,,BRGY CAPTAIN JOEL O ROSARIO,"BRGY CANTAGAY, JAGNA, BOHOL",CONG ARTHUR C YAP,01/29/2014,,," 1,000,000.00 ",," 1,000,000.00 ",,,,,,,01/13/2014,02/14/2014,,,PURCHASE OF DISASTER EQUIPMENT,EQUIPMENT,D,,,,01-14,2014,,,,,FOR EVALUATION ,,1,
02/14/2014,CF,,LGU,,,,8,SOUTHERN LEYTE,,SAN RICARDO,,,MAYOR WILLIAM G. YU,"SAN RICARDO, SOUTHERN LEYTE",,,,"T YOLANDA IN NOVEMBER 08, 2013"," 18,560,112.00 ",," 18,560,112.00 ",,,,,,,11/15/2013,02/14/2014,,,REPAIR/REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,11-13,2013,,,,,FOR EVALUATION ,,5,
02/13/2014,CF,,LGU,,,DPWH,4,OCCIDENTAL MINDORO,,LUBANG,,,MAYOR JUAN M SANCHEZ,"LUBANG, OCCIDENTAL MINDORO",DPWH SECRETARY ROGELIO L SINGSON,02/05/2014,,"T GENER, OFEL, PABLO IN 2012"," 17,000,000.00 ",," 17,000,000.00 ",,,,,,,05/24/2013,02/13/2014,,,"RECONSTRUCTION/REHABILITATION OF POBLACION WEST SEAWALL, LUBANG, OCCIDENTAL MINDORO",SEAWALL,B,B3,,,05-13,2013,,,,,FOR PROCESSING ,,1,
02/13/2014,CF,,NGA,,,DPWH,1,PANGASINAN,,,,,SEC ROGELIO L SINGSON,DPWH PANGASINAN 4TH DEO,,,,"T LABUYO, MARING & HABAGAT IN 2013"," 2,809,000.00 ",," 2,809,000.00 ",,,,,,,01/29/2014,02/13/2014,,,REPAIR/REHABILITATION OF ROADS,ROAD,B,B1,,,01-14,2014,,,,,FOR PROCESSING ,,5,
02/13/2014,CF,,NGA,,,DPWH,1,ILOCOS NORTE,,,,,SEC ROGELIO L SINGSON,DPWH ILOCOS NORTE 2ND DEO,,,,T ODETTE IN 2013," 139,736,000.00 ",," 139,736,000.00 ",,,,,,,02/03/2014,02/13/2014,,,CONSTRUCTION/REPAIR/REHABILITATION OF FLOOD CONTROL PROJECTS,FLOOD CONTROL ,B,B3,,,02-14,2014,,,,,FOR PROCESSING ,,5,
02/13/2014,CF,,NGA,,,DPWH,2,ISABELA,,,,,SEC ROGELIO L SINGSON,DPWH ISABELA 4TH DEO,,,,T LABUYO IN 2013," 11,371,000.00 ",," 11,371,000.00 ",,,,,,,02/05/2014,02/13/2014,,,REPAIR/REHABILITATION OF FLOOD CONTROL PROEJCTS ALONG CAGAYAN RIVER,FLOOD CONTROL ,B,B3,,,02-14,2014,,,,,FOR PROCESSING ,,3,
02/07/2014,CF,,LGU,,,,1,LA UNION,,CABA,,,GOV MANUEL C ORTEGA,LA UNION,"RD MELCHITO CASTRO, OCDRO 1",02/05/2014,,T LABUYO & MARING IN 2013," 75,000,000.00 ",," 75,000,000.00 ",,,,,,,02/05/2014,02/07/2014,,,REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,02-14,2014,,,,,FOR PROCESSING ,,6,
02/04/2014,CF,,NGA,,1ST,DPWH,7,CEBU,,,,,SEC ROGELIO L SINGSON,DPWH CEBU 1ST DEO,,,,"T YOLANDA IN NOVEMBER 08, 2013"," 63,000,000.00 ",," 63,000,000.00 ",,,,,,,02/03/2014,02/04/2014,,,CONSTRUCTION OF FLOOD CONTROL/DRAINAGE FACILITIES ALONG CEBU NORTH HAGNAYA WHARF ROAD & BOGO-CURVA-MEDELLIN-DAANBANTAYAN ROAD,OTHERS,B,B3,,,02-14,2014,,,,,FOR PROCESSING ,,2,
02/03/014,CF,,NGA,,,DPWH,11,DAVAO DEL NORTE,,,,,USEC ROMEO S MOMO,NIA - DAVAO DEL NORTE,,,,"T GENER, HELEN, OFEL, PABLO, AND HANGING HABAGAT IN 2012"," 49,500,000.00 ",," 49,500,000.00 ",,,,,,,01/27/2014,02/03/2014,,,REPAIR/REHABILITATION OF IRRIGATION FACILITIES,IRRIGATION SYSTEM,C,C1,,,01-14,2014,,,,,FOR PROCESSING ,,8,
02/03/014,CF,,NGA,,,DPWH,11,DAVAO ORIENTAL,,LUPON,,,USEC ROMEO S MOMO,"NIA - LUPON, DAVAO ORIENTAL",,,,"T GENER, HELEN, OFEL, PABLO, AND HANGING HABAGAT IN 2012"," 1,000,000.00 ",," 1,000,000.00 ",,,,,,,01/14/2014,01/21/2014,,,"REPAIR/REHABILITATION OF IRRIGATION FACILITIES IN LUPON, DAVAO ORIENTAL",IRRIGATION SYSTEM,C,C1,,,01-14,2014,,,,,FOR PROCESSING ,,1,
02/13/2014,CF,,LGU,,,,9,ZAMBOANGA SIBUGAY,,ALICIA,,,MAYOR YASHIER S MUSA,"ALICIA, ZAMBOANGA SIBUGAY",,,,," 2,500,000.00 ",," 2,500,000.00 ",,,,,,,02/05/2014,02/13/2014,,,CONSTRUCTION OF MDMO ,BUILDING,B,B3,,,02-14,2014,,,,,FOR EVALUATION ,,1,
12/10/2013,CF,,NGA,,,DPWH,5,ALBAY,,,,,USEC ROMEO S MOMO,NIA - ALBAY,,,,"T GENER, HELEN, OFEL, PABLO, AND HANGING HABAGAT IN 2012"," 3,005,000.00 ",," 3,005,000.00 ",,,,,,,11/22/2013,12/10/2013,,,REPAIR/REHABILITATION OF IRRIGATION FACILITIES IN ALBAY,IRRIGATION SYSTEM,C,C1,,,11-13,2013,,,,,FOR PROCESSING ,,4,
02/05/2014,CF,,NGA,,,DPWH,3,,,,,,SEC ROGELIO L SINGSON,DPWH REGION 3,,,,T SANTI - 2013," 196,422,363.89 ",," 196,422,363.89 ",,,,,,,01/30/2014,02/05/2014,,,REPAIR/REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,01-14,2014,,,,,FOR PROCESSING ,,31,
01/15/2014,CF,,NGA,,,DPWH,1,ILOCOS NORTE,,SOLSONA,,,SEC ROGELIO L SINGSON,DPWH ILOCOS NORTE 2ND DEO,,,,T ODETTE IN 2013," 10,000,000.00 ",," 10,000,000.00 ",,,,,,,01/08/2014,01/15/2014,,,REPAIR/REHABILITATION OF ILOCOS NORTE-APAYAO ROAD,ROAD,B,B1,,,01-14,2014,,,,,FOR PROCESSING ,,1,
01/13/2014,CF,,LGU,,1ST,,11,COMPOSTELA VALLEY,,,,,CONG MARIA CARMEN ZAMORA,COMPOSTELA VALLEY 1ST DISTRICT,,,,T PABLO - 2012," 122,130,000.00 ",," 122,130,000.00 ",,,,,,,11/26/2013,01/13/2013,,,REPAIR/REHABILITATION  OF INFRASTRUCTURE PROJECTS IN THE 1ST DISTRICT OF COMPOSTELA VALLEY,OTHERS,B,B7,,,11-13,2013,,,,,FOR EVALUATION ,,8,
10/13/2013,CF,,LGU,,,,15,ABRA,,PILAR,,,MAYOR JAJA JOSEFINA S DISONO,"PILAR, ABRA",,,,T PABLO - 2012," 10,000,000.00 ",," 10,000,000.00 ",,,,,,,08/02/2013,10/17/2013,,,REHABILITATION/IMPROVEMENT OF FARM-TO-MARKET ROAD,ROAD,B,B1,,,08-13,2013,,,,,FOR EVALUATION ,,1,
02/04/2014,CF,,LGU,,,,4,BATANGAS,,LIAN,,,MAYOR ISAGANI I BOLOMPO,"LIAN, BATANGAS",,,,," 20,000,000.00 ",," 20,000,000.00 ",,,,,,,01/29/2014,02/04/2014,,,CONSTRUCTION OF FARM-TO-MARKET ROADS IN 10 BARANGAYS,ROAD,B,B1,,,01-14,2014,,,,,FOR EVALUATION ,,1,
02/03/2014,CF,,LGU,,,,4,BATANGAS,,NASUGBU,,,MAYOR ROSARIO APACIBLE,"NASUGBU, BATANGAS",,,,," 31,000,000.00 ",," 31,000,000.00 ",,,,,,,01/24/2014,02/03/2014,,,CONSTRUCTION OF FARM-TO-MARKET ROADS AT DAYAP-PUTAT-BUNDUCAN-UTOD SECTION,ROAD,B,B1,,,01-14,2014,,,,,FOR EVALUATION ,,1,
02/03/2014,CF,,LGU,,,,4,BATANGAS,,NASUGBU,,,MAYOR ROSARIO APACIBLE,"NASUGBU, BATANGAS",,,,," 17,000,000.00 ",," 17,000,000.00 ",,,,,,,01/24/2014,02/03/2014,,,CONSTRUCTION OF FARM-TO-MARKET ROADS IN CATANDAAN-MAUGAT SECTION,ROAD,B,B1,,,01-14,2014,,,,,FOR EVALUATION ,,1,
02/03/2014,CF,,LGU,,,,13,AGUSAN DEL SUR,,TRENTO,,,MAYOR JOHNMARK C BILLANES,"TRENTO, AGUSAN DEL SUR",,,,T PABLO - 2012," 100,000,000.00 ",," 100,000,000.00 ",,,,,,,12/13/2013,02/03/2014,,,REHABILITATION OF SITIO GASA-BAGONG SILANG - CUEVAS FARM-TO-MARKET ROAD AND NRJ POBLACION - SITIO GASA - TUDELA FMR,ROAD,B,B1,,,12-13,2013,,,,,FOR EVALUATION ,,1,
01/16/2014,CF,,LGU,,,,3,PAMPANGA,,CANDABA,,,MAYOR RENE E MAGLANQUE,"CANDABA, PAMPANGA",,,,FLOODING," 10,000,000.00 ",," 10,000,000.00 ",,,,,,,09/23/2013,01/16/2014,,,REHABILITATION AND  UPGRADING OF THE POBLACION ROAD,ROAD,B,B1,,,09-13,2013,,,,,FOR EVALUATION ,,1,
01/07/2014,CF,,LGU,4TH,,,5,CATANDUANES,,VIGA,,,MAYOR GORDON S OLFINDO,"VIGA, CATANDUANES",,,,," 45,000,000.00 ",," 45,000,000.00 ",,,,,,,09/16/2013,01/07/2014,,,"CONSTRUCTION OF RIVER FLOOD CONTROL PROJECTS IN VIGA, CATANDUANES",FLOOD CONTROL ,B,B3,,,09-13,2013,,,,,FOR EVALUATION ,,4,
01/07/2014,CF,,LGU,,,,2,QUIRINO,,MADELLA,,,MAYOR RENATO G YLANAN,"MADELLA, QUIRINO",,,,T LABUYO - 2013," 12,782,666.00 ",," 12,782,666.00 ",,,,,,,09/09/2013,01/07/2014,,,REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,09-13,2013,,,,,FOR EVALUATION ,,1,
01/17/2014,CF,,LGU,,,,4,ORIENTAL MINDORO,,CALAPAN,,,GOV ALFONSO V UMALI JR,ORIENTAL MINDORO,,,,," 70,000,000.00 ",," 70,000,000.00 ",,,,,,,12/06/2013,01/17/2014,,,RECONSTRUCTION/REHABILITATION OF RIVER CONTROL PROJECTS,FLOOD CONTROL ,B,B3,,,12-13,2013,,,,,FOR EVALUATION ,,4,
01/22/2014,CF,,LGU,,,,11,DAVAO DEL SUR,,STA MARIA,,,MAYOR GEORGE P MARISCAL,"STA MARIA, DAVAO DEL SUR",,,,," 5,435,903.00 ",," 5,435,903.00 ",,,,,,,10/21/2013,01/22/2014,,,CONSTRUCTION  OF FLOOD CONTROL STRUCTUREE IN BARANGAY PONGPONG,FLOOD CONTROL ,B,B3,,,10-13,2013,,,,,FOR EVALUATION ,,1,
01/22/2014,CF,,LGU,,,,5,SORSOGON,,STA MAGDALENA,,,MAYOR JOCELYN B GALLANOSA,"STA MAGDALENA, SORSOGON",,,,T REMING & MILENYO," 160,000,000.00 ",," 160,000,000.00 ",,,,,,,11/27/2013,01/22/2014,,,REPAIR/REHABILITATION OF INFRASTRUCTURE PROJECTS,OTHERS,B,B7,,,11-13,2013,,,,,FOR EVALUATION ,,14,
01/22/2014,CF,,LGU,,,,15,ABRA,,DOLORES,,,MAYOR ROBERT V SEARES JR,"DOLORES, ABRA",,,,," 30,000,000.00 ",," 30,000,000.00 ",,,,,,,08/12/2013,01/22/2014,,,"CONSTRUCTION OF FLOOD CONTROL STRUCTURES IN BRGYS CORDONA AND ISIT, DOLORES, ABRA",FLOOD CONTROL ,B,B3,,,08-13,2013,,,,,FOR EVALUATION ,,1,
01/07/2014,CF,,LGU,,,,6,CAPIZ,,PRESIDENT ROXAS,,,MS FELICITAS BEREBER,"BRGY PRESIDENT ROXAS, CAPIZ",,,,T YOLANDA,,,,,,,,,,11/29/2013,01/07/2014,,,FINANCIAL ASSISTANCE FOR THE REPAIR OF HER HOUSE,HOUSE,B,B2,,,11-13,2013,8,02/27/2014,,,NDRRMC REFERRED TO DSWD FOR APPROPRIATE ACTION,,1,
01/08/2014,CF,,NGA,,3RD,DPWH,6,ILOILO,,,,,SEC ROGELIO L SINGSON,DPWH 3RD ILOILO DEO,,,,T YOLANDA," 62,073,000.00 ",," 62,073,000.00 ",,,,,,,01/08/2014,02/20/2014,,,REHABILITATION OF ROADS AND BRIDGE,ROAD/BRIDGE,B,B1,,,01-14,2014,19,02/20/2014,,,NDRRMC RECOMMENDED THE RELEASE OF P62.073M TO DPWH ILOILO 3RD DEO FOR OP APPROVAL,,9,
